cdid,item_name_kr,stat_code,time,data_value,unit
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2009Q4,17605.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2010Q1,17164.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2010Q2,18314.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2010Q3,18614.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2010Q4,19947.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2011Q1,21271.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2011Q2,22810.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2011Q3,24396.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2011Q4,22313.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2012Q1,24838.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2012Q2,23038.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2012Q3,24242.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2012Q4,23363.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2013Q1,25934.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2013Q2,25274.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2013Q3,24929.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2013Q4,23101.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2014Q1,23269.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2014Q2,23483.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2014Q3,24638.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2014Q4,23336.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2015Q1,24131.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2015Q2,24450.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2015Q3,22368.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2015Q4,24098.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2016Q1,24282.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2016Q2,25375.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2016Q3,22976.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2016Q4,26655.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2017Q1,26893.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2017Q2,26085.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2017Q3,29084.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2017Q4,26811.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2018Q1,26252.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2018Q2,26773.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2018Q3,27781.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2018Q4,26699.0,GBP million
