sheet,row,text
Table_G,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_G,6,"Table G.1, Primary income, credits (£ million)"
Table_H,1,"Table H: Secondary income, seasonally adjusted"
Table_H,2,This worksheet contains three tables presented underneath each other vertically with one blank row between each table.
Table_H,3,All tables in this worksheet are in pounds million.
Table_H,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_H,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_H,6,"Table H.1, Secondary income, credits (£ million)"
Table_I,1,"Table I: Capital account, seasonally adjusted"
Table_I,2,This worksheet contains three tables presented underneath each other vertically with one blank row between each table.
Table_I,3,All tables in this worksheet are in pounds million.
Table_I,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_I,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_I,6,"Table I.1, Capital account, credits (£ million)"
Table_J,1,"Table J: Financial account [note 1] [note 2], not seasonally adjusted"
Table_J,2,This worksheet contains three tables presented underneath each other vertically with one blank row between each table.
Table_J,3,All tables in this worksheet are in pounds million.
Table_J,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_J,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_J,6,"Table J.1, UK Investment Abroad (net acquisition of financial assets) (£ million)"
Table_K,1,"Table K: International investment position [note 1], Balance sheets valued at end of period, not seasonally adjusted"
Table_K,2,This worksheet contains three tables presented underneath each other vertically with one blank row between each table.
Table_K,3,All tables in this worksheet are in pounds billion.
Table_K,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_K,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_K,6,"Table K.1, UK Assets (£ billion)"
Table_R1,1,"Table R1: Summary of revisions since last Balance of Payments Statistical Bulletin, Balances (net transactions)"
Table_R1,2,This worksheet contains three tables presented underneath each other vertically with one blank row between each table.
Table_R1,3,All tables in this worksheet are in pounds million.
Table_R1,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_R1,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_R1,6,"Table R1.1, Current account, seasonally adjusted (£ million)"
Table_R2,1,"Table R2: Current account revisions since last Balance of Payments Statistical Bulletin, seasonally adjusted"
Table_R2,2,This worksheet contains four tables presented underneath each other vertically with one blank row between each table.
Table_R2,3,"The first three tables are in pounds million, the fourth table displays percentages of GDP."
Table_R2,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_R2,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_R2,6,"Table R2.1, Current Account Credits (£ million)"
Table_R3,1,"Table R3: Revisions to international investment since last Balance of Payments Statistical Bulletin, not seasonally adjusted"
Table_R3,2,This worksheet contains nine tables presented underneath each other vertically with one blank row between each table.
Table_R3,3,All tables in this worksheet are in pounds billion.
Table_R3,4,"The tables in this worksheet refer to, Q1 = Jan to Mar, Q2 = Apr to June, Q3 = July to Sept, Q4 = Oct to Dec."
Table_R3,5,"These tables refer to CDID's which stands for Central Database Identifier, the codes used to identify specific datasets."
Table_R3,6,"Table R3.1, Investment Abroad, International Investment Position (£ billion)"
