time_period,_neg_hbwn,_neg_hbwt,_neg_mu7l,_neg_mu7m,_neg_hbwv,_neg_hbwx,_neg_hhzd,_neg_zpnn,_neg_hhyr,_neg_ltcv,_neg_hbnt
2015Q3,-17348,1913,10984,-4451,-26972,-7209,-34181,6415,-8709,5260,-35666
2015Q4,-7938,440,1866,-5632,22841,-19667,3174,-2253,-26540,2080,-29171
2016Q1,-42079,-10544,-14135,-66758,-22623,26487,3864,23188,13658,2328,-23720
2016Q2,-8525,-8681,-6168,-23374,-22258,-65046,-87304,-19512,118457,2791,-8942
2016Q3,-25751,-461,-5034,-31246,14403,-75610,-61207,13062,24733,2596,-52062
2016Q4,-86159,1188,-13103,-98074,76678,-44475,32203,-5224,44753,-1204,-27546
2017Q1,-13185,4879,4662,-3644,-12655,24026,11371,9802,-50164,4054,-28581
2017Q2,10951,5411,-6487,9875,17348,-4414,12934,6759,-43812,1760,-12484
2017Q3,38630,6993,-11252,34371,-43642,-577,-44219,6518,-23113,15,-26428
2017Q4,-1617,115,-3344,-4846,14725,-66549,-51824,-8073,52096,970,-11677
2018Q1,-26266,359,17552,-8355,-61736,7456,-54280,20634,29594,3488,-8919
2018Q2,-14364,2888,34168,22692,-48004,-56959,-104963,-11435,60249,2017,-31440
2018Q3,-8616,5521,21042,17947,-47978,-4413,-52391,14092,4638,-28,-15742
2018Q4,-47491,7458,4094,-35939,-20840,-35350,-56190,-15552,57774,13089,-36818
2019Q1,-2191,7173,11808,16790,14927,68359,83286,-5037,-120517,-6270,-31748
2019Q2,-13068,5852,-14018,-21234,-10932,35062,24130,-5464,-15228,-4616,-22412
2019Q3,-1387,-2743,-13801,-17931,-34467,-27403,-61870,22101,42096,-247,-15851
2019Q4,-11623,-20697,21633,-10687,41936,-58633,-16697,-9663,25220,10261,-1566
2020Q1,-7559,3472,-43028,-47115,-100112,38023,-62089,9051,86075,-3259,-17337
2020Q2,-5456,-17920,2231,-21145,22054,21463,43517,4711,-28159,502,-574
2020Q3,-8270,3393,5534,657,23441,-15020,8421,13439,-28690,-5817,-11990
2020Q4,-29633,-3727,-8451,-41811,20974,19510,40484,-1383,-43577,5992,-40295
2021Q1,-12773,26831,-19838,-5780,-10294,-41543,-51837,-368,51988,-1580,-7577
2021Q2,-15351,10181,-10023,-15193,35469,-39580,-4111,-18195,39677,-2930,-752
2021Q3,24800,25792,-15320,35272,-49506,-3254,-52760,-2647,-18257,20555,-17837
2021Q4,-20129,19046,9609,8526,-25515,-58054,-83569,-6013,71518,1656,-7882
2022Q1,-14475,14403,13876,13804,-55481,14415,-41066,4948,-13934,769,-35479
2022Q2,-27485,16101,11123,-261,-25796,6881,-18915,-9690,10580,-4761,-23047
2022Q3,-20590,8745,8807,-3038,-72807,50350,-22457,-22333,40814,-5038,-12052
2022Q4,2289,15284,13331,30904,67623,-21143,46480,-21303,-53669,7955,10367
2023Q1,-26674,13392,-8576,-21858,19137,54841,73978,14029,-83689,-5888,-23428
2023Q2,-5611,7591,8178,10158,76024,4103,80127,26943,-145696,2341,-26127
2023Q3,4159,11971,14730,30860,-34807,2683,-32124,-25349,12811,284,-13518
2023Q4,-9808,-4572,7274,-7106,46965,11745,58710,-14603,-58675,-447,-22121
2024Q1,3658,8438,-5960,6136,23067,20756,43823,-11042,-42689,-584,-4356
2024Q2,1058,-4876,-4598,-8416,-5903,17,-5886,13098,-28443,-1985,-31632
2024Q3,5053,308,-29369,-24008,19844,23385,43229,-9784,-36382,-798,-27743
2024Q4,-6378,-13549,54,-19873,-64929,-50208,-115137,-2858,106496,1056,-30316
2025Q1,-10264,11892,-6060,-4432,22424,15841,38265,-5304,-50372,607,-21236
2025Q2,4919,-6673,-4745,-6499,-8647,2504,-6143,-3099,-19348,4555,-30534
2025Q3,1539,23101,-4878,19762,-19809,12143,-7666,-171,-41227,4080,-25222
2025Q4,-14027,11232,1219,-1576,-47229,-14259,-61488,-1253,54439,507,-9371
